objectid,dist_numc,Shape__Area,Shape__Length
1,24,24312153.1601562,23679.9562519669
2,14,51453005.4492188,37264.1096054029
3,15,48860660.6875,35748.7411855622
4,19,28236641.6796875,28526.6837838275
5,01,34168186.9570312,32647.8667251235
6,05,33822596.3359375,28776.8787303556
7,39,25034479.40625,23171.7514948841
8,35,24507901.515625,20606.1100481246
9,08,75049223.2421875,40794.7950594567
10,02,30530686.9921875,25319.5354894366
11,25,18758672.7890625,19890.8387011215
12,07,55282856.0195312,36035.659306343
13,22,19017194.4882812,18206.7528840362
14,26,15398173.671875,15460.1207389051
15,09,20206534.3632812,20806.9701049241
16,12,49323167.5117188,43467.1223666154
17,77,3492735.484375,8741.14362504643
18,18,15622068.90625,21433.3600943734
19,16,19316624.296875,27595.4255895535
20,03,29061418.0742188,21994.9997640933
21,17,9121532.5546875,13054.2393801477
